"","Vaccine","Geography.Type","Geography","FIPS","Season.Survey.Year","Month","Dimension.Type","Dimension","Estimate....","X95..CI....","Sample.Size","ym"
"16","Seasonal Influenza","States/Local Areas","Iowa",19,"2009-10",1,"Age","≥6 Months",47.8,"45.9 to 49.7",8156,2009-01-01
"17","Seasonal Influenza","States/Local Areas","Kansas",20,"2009-10",1,"Age","≥6 Months",40.9,"39.4 to 42.4",13899,2009-01-01
"18","Seasonal Influenza","States/Local Areas","Kentucky",21,"2009-10",1,"Age","≥6 Months",41.6,"39.8 to 43.4",9809,2009-01-01
"19","Seasonal Influenza","States/Local Areas","Louisiana",22,"2009-10",1,"Age","≥6 Months",40.3,"38.6 to 42.0",8942,2009-01-01
"20","Seasonal Influenza","States/Local Areas","Maine",23,"2009-10",1,"Age","≥6 Months",47.3,"45.6 to 49.0",8867,2009-01-01
"21","Seasonal Influenza","States/Local Areas","Maryland",24,"2009-10",1,"Age","≥6 Months",42.8,"41.1 to 44.5",10878,2009-01-01
"22","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2009-10",1,"Age","≥6 Months",49.5,"47.4 to 51.6",14087,2009-01-01
"23","Seasonal Influenza","States/Local Areas","Michigan",26,"2009-10",1,"Age","≥6 Months",35.4,"33.9 to 36.9",10668,2009-01-01
"24","Seasonal Influenza","States/Local Areas","Minnesota",27,"2009-10",1,"Age","≥6 Months",49.8,"47.6 to 52.0",8852,2009-01-01
"25","Seasonal Influenza","States/Local Areas","Mississippi",28,"2009-10",1,"Age","≥6 Months",36.2,"34.3 to 38.1",11356,2009-01-01
"26","Seasonal Influenza","States/Local Areas","Missouri",29,"2009-10",1,"Age","≥6 Months",39.5,"37.4 to 41.6",7074,2009-01-01
"27","Seasonal Influenza","States/Local Areas","Montana",30,"2009-10",1,"Age","≥6 Months",36.4,"34.7 to 38.1",9059,2009-01-01
"28","Seasonal Influenza","States/Local Areas","Nebraska",31,"2009-10",1,"Age","≥6 Months",46.7,"44.6 to 48.8",15971,2009-01-01
"29","Seasonal Influenza","States/Local Areas","Nevada",32,"2009-10",1,"Age","≥6 Months",29.7,"27.7 to 31.7",7299,2009-01-01
"30","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2009-10",1,"Age","≥6 Months",47.6,"45.7 to 49.5",7343,2009-01-01
"31","Seasonal Influenza","States/Local Areas","New Jersey",34,"2009-10",1,"Age","≥6 Months",39.2,"37.5 to 40.9",11653,2009-01-01
"32","Seasonal Influenza","States/Local Areas","New Mexico",35,"2009-10",1,"Age","≥6 Months",44.4,"42.3 to 46.5",9365,2009-01-01
"33","Seasonal Influenza","States/Local Areas","New York",36,"2009-10",1,"Age","≥6 Months",40.7,"39.0 to 42.4",9661,2009-01-01
"34","Seasonal Influenza","States/Local Areas","North Carolina",37,"2009-10",1,"Age","≥6 Months",41,"38.7 to 43.3",11267,2009-01-01
"35","Seasonal Influenza","States/Local Areas","North Dakota",38,"2009-10",1,"Age","≥6 Months",44.7,"42.2 to 47.2",6501,2009-01-01
"36","Seasonal Influenza","States/Local Areas","Ohio",39,"2009-10",1,"Age","≥6 Months",38,"36.3 to 39.7",11152,2009-01-01
"37","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2009-10",1,"Age","≥6 Months",41.1,"39.4 to 42.8",9792,2009-01-01
"38","Seasonal Influenza","States/Local Areas","Oregon",41,"2009-10",1,"Age","≥6 Months",36.8,"35.0 to 38.6",8182,2009-01-01
"39","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2009-10",1,"Age","≥6 Months",42.1,"40.6 to 43.6",12179,2009-01-01
"40","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2009-10",1,"Age","≥6 Months",46,"44.2 to 47.8",8243,2009-01-01
"41","Seasonal Influenza","States/Local Areas","South Carolina",45,"2009-10",1,"Age","≥6 Months",37.2,"35.5 to 38.9",10809,2009-01-01
"42","Seasonal Influenza","States/Local Areas","South Dakota",46,"2009-10",1,"Age","≥6 Months",51,"49.0 to 53.0",8664,2009-01-01
"43","Seasonal Influenza","States/Local Areas","Tennessee",47,"2009-10",1,"Age","≥6 Months",42.3,"40.1 to 44.5",7294,2009-01-01
"44","Seasonal Influenza","States/Local Areas","Texas",48,"2009-10",1,"Age","≥6 Months",38.6,"37.1 to 40.1",20682,2009-01-01
"45","Seasonal Influenza","States/Local Areas","Utah",49,"2009-10",1,"Age","≥6 Months",41.6,"39.9 to 43.3",11042,2009-01-01
"46","Seasonal Influenza","States/Local Areas","Vermont",50,"2009-10",1,"Age","≥6 Months",43.5,"41.7 to 45.3",7750,2009-01-01
"47","Seasonal Influenza","States/Local Areas","Virginia",51,"2009-10",1,"Age","≥6 Months",45.6,"43.0 to 48.2",7128,2009-01-01
"48","Seasonal Influenza","States/Local Areas","Washington",53,"2009-10",1,"Age","≥6 Months",40.2,"38.8 to 41.6",17955,2009-01-01
"49","Seasonal Influenza","States/Local Areas","West Virginia",54,"2009-10",1,"Age","≥6 Months",42,"39.5 to 44.5",6924,2009-01-01
"50","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2009-10",1,"Age","≥6 Months",39.2,"36.9 to 41.5",5516,2009-01-01
"51","Seasonal Influenza","States/Local Areas","Wyoming",56,"2009-10",1,"Age","≥6 Months",41.5,"39.5 to 43.5",8054,2009-01-01
"52","Seasonal Influenza","States/Local Areas","Alabama",1,"2009-10",2,"Age","≥6 Months",38.7,"36.8 to 40.6",9323,2009-02-01
"53","Seasonal Influenza","States/Local Areas","Alaska",2,"2009-10",2,"Age","≥6 Months",37.4,"34.6 to 40.2",4987,2009-02-01
"54","Seasonal Influenza","States/Local Areas","Arizona",4,"2009-10",2,"Age","≥6 Months",40.1,"37.6 to 42.6",8065,2009-02-01
"55","Seasonal Influenza","States/Local Areas","Arkansas",5,"2009-10",2,"Age","≥6 Months",51.1,"47.3 to 54.9",5871,2009-02-01
"56","Seasonal Influenza","States/Local Areas","California",6,"2009-10",2,"Age","≥6 Months",35.2,"34.0 to 36.4",17151,2009-02-01
"57","Seasonal Influenza","States/Local Areas","Colorado",8,"2009-10",2,"Age","≥6 Months",43.9,"41.6 to 46.2",10746,2009-02-01
"58","Seasonal Influenza","States/Local Areas","Connecticut",9,"2009-10",2,"Age","≥6 Months",43.7,"41.7 to 45.7",8563,2009-02-01
"59","Seasonal Influenza","States/Local Areas","Delaware",10,"2009-10",2,"Age","≥6 Months",43,"40.8 to 45.2",7145,2009-02-01
"60","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2009-10",2,"Age","≥6 Months",42.5,"39.5 to 45.5",6307,2009-02-01
"61","Seasonal Influenza","States/Local Areas","Florida",12,"2009-10",2,"Age","≥6 Months",34.5,"33.0 to 36.0",25071,2009-02-01
"62","Seasonal Influenza","States/Local Areas","Georgia",13,"2009-10",2,"Age","≥6 Months",36.1,"34.1 to 38.1",7795,2009-02-01
"63","Seasonal Influenza","States/Local Areas","Hawaii",15,"2009-10",2,"Age","≥6 Months",53.8,"51.7 to 55.9",9816,2009-02-01
"64","Seasonal Influenza","States/Local Areas","Idaho",16,"2009-10",2,"Age","≥6 Months",33.7,"31.6 to 35.8",8680,2009-02-01
"65","Seasonal Influenza","States/Local Areas","Illinois",17,"2009-10",2,"Age","≥6 Months",37.7,"35.7 to 39.7",8728,2009-02-01
"66","Seasonal Influenza","States/Local Areas","Indiana",18,"2009-10",2,"Age","≥6 Months",40.4,"38.8 to 42.0",11036,2009-02-01
"67","Seasonal Influenza","States/Local Areas","Iowa",19,"2009-10",2,"Age","≥6 Months",48.4,"46.5 to 50.3",8156,2009-02-01
"68","Seasonal Influenza","States/Local Areas","Kansas",20,"2009-10",2,"Age","≥6 Months",41.6,"40.0 to 43.2",13899,2009-02-01
"69","Seasonal Influenza","States/Local Areas","Kentucky",21,"2009-10",2,"Age","≥6 Months",42.3,"40.5 to 44.1",9809,2009-02-01
"70","Seasonal Influenza","States/Local Areas","Louisiana",22,"2009-10",2,"Age","≥6 Months",41.7,"39.9 to 43.5",8942,2009-02-01
"71","Seasonal Influenza","States/Local Areas","Maine",23,"2009-10",2,"Age","≥6 Months",48.6,"46.9 to 50.3",8867,2009-02-01
"72","Seasonal Influenza","States/Local Areas","Maryland",24,"2009-10",2,"Age","≥6 Months",43.7,"42.0 to 45.4",10878,2009-02-01
"73","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2009-10",2,"Age","≥6 Months",50.8,"48.6 to 53.0",14087,2009-02-01
"74","Seasonal Influenza","States/Local Areas","Michigan",26,"2009-10",2,"Age","≥6 Months",35.8,"34.3 to 37.3",10668,2009-02-01
"75","Seasonal Influenza","States/Local Areas","Minnesota",27,"2009-10",2,"Age","≥6 Months",50.8,"48.5 to 53.1",8852,2009-02-01
"76","Seasonal Influenza","States/Local Areas","Mississippi",28,"2009-10",2,"Age","≥6 Months",37.6,"35.7 to 39.5",11356,2009-02-01
"77","Seasonal Influenza","States/Local Areas","Missouri",29,"2009-10",2,"Age","≥6 Months",40.1,"38.0 to 42.2",7074,2009-02-01
"78","Seasonal Influenza","States/Local Areas","Montana",30,"2009-10",2,"Age","≥6 Months",37.3,"35.5 to 39.1",9059,2009-02-01
"79","Seasonal Influenza","States/Local Areas","Nebraska",31,"2009-10",2,"Age","≥6 Months",47.7,"45.5 to 49.9",15971,2009-02-01
"80","Seasonal Influenza","States/Local Areas","Nevada",32,"2009-10",2,"Age","≥6 Months",30.4,"28.4 to 32.4",7299,2009-02-01
"81","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2009-10",2,"Age","≥6 Months",48.5,"46.6 to 50.4",7343,2009-02-01
"82","Seasonal Influenza","States/Local Areas","New Jersey",34,"2009-10",2,"Age","≥6 Months",39.8,"38.1 to 41.5",11653,2009-02-01
"83","Seasonal Influenza","States/Local Areas","New Mexico",35,"2009-10",2,"Age","≥6 Months",45.7,"43.5 to 47.9",9365,2009-02-01
"84","Seasonal Influenza","States/Local Areas","New York",36,"2009-10",2,"Age","≥6 Months",42.4,"40.6 to 44.2",9661,2009-02-01
"85","Seasonal Influenza","States/Local Areas","North Carolina",37,"2009-10",2,"Age","≥6 Months",41.8,"39.4 to 44.2",11267,2009-02-01
"86","Seasonal Influenza","States/Local Areas","North Dakota",38,"2009-10",2,"Age","≥6 Months",45.2,"42.7 to 47.7",6501,2009-02-01
"87","Seasonal Influenza","States/Local Areas","Ohio",39,"2009-10",2,"Age","≥6 Months",38.9,"37.1 to 40.7",11152,2009-02-01
"88","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2009-10",2,"Age","≥6 Months",42.2,"40.4 to 44.0",9792,2009-02-01
"89","Seasonal Influenza","States/Local Areas","Oregon",41,"2009-10",2,"Age","≥6 Months",37.8,"35.9 to 39.7",8182,2009-02-01
"90","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2009-10",2,"Age","≥6 Months",42.9,"41.4 to 44.4",12179,2009-02-01
"91","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2009-10",2,"Age","≥6 Months",47.7,"45.8 to 49.6",8243,2009-02-01
"92","Seasonal Influenza","States/Local Areas","South Carolina",45,"2009-10",2,"Age","≥6 Months",38.8,"37.0 to 40.6",10809,2009-02-01
"93","Seasonal Influenza","States/Local Areas","South Dakota",46,"2009-10",2,"Age","≥6 Months",51.9,"49.9 to 53.9",8664,2009-02-01
"94","Seasonal Influenza","States/Local Areas","Tennessee",47,"2009-10",2,"Age","≥6 Months",42.8,"40.6 to 45.0",7294,2009-02-01
"95","Seasonal Influenza","States/Local Areas","Texas",48,"2009-10",2,"Age","≥6 Months",39.6,"38.1 to 41.1",20682,2009-02-01
"96","Seasonal Influenza","States/Local Areas","Utah",49,"2009-10",2,"Age","≥6 Months",42.7,"41.0 to 44.4",11042,2009-02-01
"97","Seasonal Influenza","States/Local Areas","Vermont",50,"2009-10",2,"Age","≥6 Months",44.9,"43.1 to 46.7",7750,2009-02-01
"98","Seasonal Influenza","States/Local Areas","Virginia",51,"2009-10",2,"Age","≥6 Months",46.5,"43.9 to 49.1",7128,2009-02-01
"99","Seasonal Influenza","States/Local Areas","Washington",53,"2009-10",2,"Age","≥6 Months",41.3,"39.8 to 42.8",17955,2009-02-01
"100","Seasonal Influenza","States/Local Areas","West Virginia",54,"2009-10",2,"Age","≥6 Months",42.8,"40.3 to 45.3",6924,2009-02-01
"101","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2009-10",2,"Age","≥6 Months",40.2,"37.9 to 42.5",5516,2009-02-01
"102","Seasonal Influenza","States/Local Areas","Wyoming",56,"2009-10",2,"Age","≥6 Months",42.5,"40.4 to 44.6",8054,2009-02-01
"103","Seasonal Influenza","States/Local Areas","Alabama",1,"2009-10",3,"Age","≥6 Months",39.2,"37.3 to 41.1",9323,2009-03-01
"104","Seasonal Influenza","States/Local Areas","Alaska",2,"2009-10",3,"Age","≥6 Months",37.7,"34.9 to 40.5",4987,2009-03-01
"105","Seasonal Influenza","States/Local Areas","Arizona",4,"2009-10",3,"Age","≥6 Months",40.8,"38.3 to 43.3",8065,2009-03-01
"106","Seasonal Influenza","States/Local Areas","Arkansas",5,"2009-10",3,"Age","≥6 Months",52,"48.1 to 55.9",5871,2009-03-01
"107","Seasonal Influenza","States/Local Areas","California",6,"2009-10",3,"Age","≥6 Months",36.1,"34.8 to 37.4",17151,2009-03-01
"108","Seasonal Influenza","States/Local Areas","Colorado",8,"2009-10",3,"Age","≥6 Months",44.6,"42.3 to 46.9",10746,2009-03-01
"109","Seasonal Influenza","States/Local Areas","Connecticut",9,"2009-10",3,"Age","≥6 Months",44.4,"42.4 to 46.4",8563,2009-03-01
"110","Seasonal Influenza","States/Local Areas","Delaware",10,"2009-10",3,"Age","≥6 Months",43.5,"41.3 to 45.7",7145,2009-03-01
"111","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2009-10",3,"Age","≥6 Months",43.1,"40.1 to 46.1",6307,2009-03-01
"112","Seasonal Influenza","States/Local Areas","Florida",12,"2009-10",3,"Age","≥6 Months",34.9,"33.4 to 36.4",25071,2009-03-01
"113","Seasonal Influenza","States/Local Areas","Georgia",13,"2009-10",3,"Age","≥6 Months",36.6,"34.5 to 38.7",7795,2009-03-01
"114","Seasonal Influenza","States/Local Areas","Hawaii",15,"2009-10",3,"Age","≥6 Months",55.1,"52.9 to 57.3",9816,2009-03-01
"115","Seasonal Influenza","States/Local Areas","Idaho",16,"2009-10",3,"Age","≥6 Months",34,"31.9 to 36.1",8680,2009-03-01
"116","Seasonal Influenza","States/Local Areas","Illinois",17,"2009-10",3,"Age","≥6 Months",37.9,"35.9 to 39.9",8728,2009-03-01
"117","Seasonal Influenza","States/Local Areas","Indiana",18,"2009-10",3,"Age","≥6 Months",41,"39.4 to 42.6",11036,2009-03-01
"118","Seasonal Influenza","States/Local Areas","Iowa",19,"2009-10",3,"Age","≥6 Months",48.5,"46.6 to 50.4",8156,2009-03-01
"119","Seasonal Influenza","States/Local Areas","Kansas",20,"2009-10",3,"Age","≥6 Months",41.8,"40.2 to 43.4",13899,2009-03-01
"120","Seasonal Influenza","States/Local Areas","Kentucky",21,"2009-10",3,"Age","≥6 Months",43,"41.1 to 44.9",9809,2009-03-01
"121","Seasonal Influenza","States/Local Areas","Louisiana",22,"2009-10",3,"Age","≥6 Months",42,"40.2 to 43.8",8942,2009-03-01
"122","Seasonal Influenza","States/Local Areas","Maine",23,"2009-10",3,"Age","≥6 Months",49.8,"48.0 to 51.6",8867,2009-03-01
"123","Seasonal Influenza","States/Local Areas","Maryland",24,"2009-10",3,"Age","≥6 Months",44.2,"42.5 to 45.9",10878,2009-03-01
"124","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2009-10",3,"Age","≥6 Months",51.3,"49.1 to 53.5",14087,2009-03-01
"125","Seasonal Influenza","States/Local Areas","Michigan",26,"2009-10",3,"Age","≥6 Months",36.6,"34.9 to 38.3",10668,2009-03-01
"126","Seasonal Influenza","States/Local Areas","Minnesota",27,"2009-10",3,"Age","≥6 Months",51,"48.7 to 53.3",8852,2009-03-01
"127","Seasonal Influenza","States/Local Areas","Mississippi",28,"2009-10",3,"Age","≥6 Months",38.1,"36.2 to 40.0",11356,2009-03-01
"128","Seasonal Influenza","States/Local Areas","Missouri",29,"2009-10",3,"Age","≥6 Months",40.3,"38.2 to 42.4",7074,2009-03-01
"129","Seasonal Influenza","States/Local Areas","Montana",30,"2009-10",3,"Age","≥6 Months",37.6,"35.7 to 39.5",9059,2009-03-01
"130","Seasonal Influenza","States/Local Areas","Nebraska",31,"2009-10",3,"Age","≥6 Months",47.9,"45.7 to 50.1",15971,2009-03-01
"131","Seasonal Influenza","States/Local Areas","Nevada",32,"2009-10",3,"Age","≥6 Months",30.8,"28.8 to 32.8",7299,2009-03-01
"132","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2009-10",3,"Age","≥6 Months",49,"47.1 to 50.9",7343,2009-03-01
"133","Seasonal Influenza","States/Local Areas","New Jersey",34,"2009-10",3,"Age","≥6 Months",40.2,"38.5 to 41.9",11653,2009-03-01
"134","Seasonal Influenza","States/Local Areas","New Mexico",35,"2009-10",3,"Age","≥6 Months",46.6,"44.4 to 48.8",9365,2009-03-01
"135","Seasonal Influenza","States/Local Areas","New York",36,"2009-10",3,"Age","≥6 Months",42.9,"41.1 to 44.7",9661,2009-03-01
"136","Seasonal Influenza","States/Local Areas","North Carolina",37,"2009-10",3,"Age","≥6 Months",42.3,"39.9 to 44.7",11267,2009-03-01
"137","Seasonal Influenza","States/Local Areas","North Dakota",38,"2009-10",3,"Age","≥6 Months",45.4,"42.9 to 47.9",6501,2009-03-01
"138","Seasonal Influenza","States/Local Areas","Ohio",39,"2009-10",3,"Age","≥6 Months",40.5,"38.2 to 42.8",11152,2009-03-01
"139","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2009-10",3,"Age","≥6 Months",43,"41.2 to 44.8",9792,2009-03-01
"140","Seasonal Influenza","States/Local Areas","Oregon",41,"2009-10",3,"Age","≥6 Months",38.1,"36.2 to 40.0",8182,2009-03-01
"141","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2009-10",3,"Age","≥6 Months",43.5,"42.0 to 45.0",12179,2009-03-01
"142","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2009-10",3,"Age","≥6 Months",48.4,"46.5 to 50.3",8243,2009-03-01
"143","Seasonal Influenza","States/Local Areas","South Carolina",45,"2009-10",3,"Age","≥6 Months",39.3,"37.4 to 41.2",10809,2009-03-01
"144","Seasonal Influenza","States/Local Areas","South Dakota",46,"2009-10",3,"Age","≥6 Months",52.5,"50.3 to 54.7",8664,2009-03-01
"145","Seasonal Influenza","States/Local Areas","Tennessee",47,"2009-10",3,"Age","≥6 Months",43.4,"41.2 to 45.6",7294,2009-03-01
"146","Seasonal Influenza","States/Local Areas","Texas",48,"2009-10",3,"Age","≥6 Months",40.2,"38.6 to 41.8",20682,2009-03-01
"147","Seasonal Influenza","States/Local Areas","Utah",49,"2009-10",3,"Age","≥6 Months",43,"41.3 to 44.7",11042,2009-03-01
"148","Seasonal Influenza","States/Local Areas","Vermont",50,"2009-10",3,"Age","≥6 Months",45.8,"43.9 to 47.7",7750,2009-03-01
"149","Seasonal Influenza","States/Local Areas","Virginia",51,"2009-10",3,"Age","≥6 Months",47.4,"44.6 to 50.2",7128,2009-03-01
"150","Seasonal Influenza","States/Local Areas","Washington",53,"2009-10",3,"Age","≥6 Months",41.6,"40.1 to 43.1",17955,2009-03-01
"151","Seasonal Influenza","States/Local Areas","West Virginia",54,"2009-10",3,"Age","≥6 Months",43.6,"41.1 to 46.1",6924,2009-03-01
"152","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2009-10",3,"Age","≥6 Months",40.9,"38.5 to 43.3",5516,2009-03-01
"153","Seasonal Influenza","States/Local Areas","Wyoming",56,"2009-10",3,"Age","≥6 Months",42.7,"40.6 to 44.8",8054,2009-03-01
"154","Seasonal Influenza","States/Local Areas","Alabama",1,"2009-10",4,"Age","≥6 Months",39.7,"37.7 to 41.7",9323,2009-04-01
"155","Seasonal Influenza","States/Local Areas","Alaska",2,"2009-10",4,"Age","≥6 Months",38,"35.2 to 40.8",4987,2009-04-01
"156","Seasonal Influenza","States/Local Areas","Arizona",4,"2009-10",4,"Age","≥6 Months",41.2,"38.6 to 43.8",8065,2009-04-01
"157","Seasonal Influenza","States/Local Areas","Arkansas",5,"2009-10",4,"Age","≥6 Months",52.1,"48.2 to 56.0",5871,2009-04-01
"158","Seasonal Influenza","States/Local Areas","California",6,"2009-10",4,"Age","≥6 Months",36.4,"35.0 to 37.8",17151,2009-04-01
"159","Seasonal Influenza","States/Local Areas","Colorado",8,"2009-10",4,"Age","≥6 Months",44.7,"42.4 to 47.0",10746,2009-04-01
"160","Seasonal Influenza","States/Local Areas","Connecticut",9,"2009-10",4,"Age","≥6 Months",44.6,"42.5 to 46.7",8563,2009-04-01
"161","Seasonal Influenza","States/Local Areas","Delaware",10,"2009-10",4,"Age","≥6 Months",44.4,"42.0 to 46.8",7145,2009-04-01
"162","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2009-10",4,"Age","≥6 Months",43.3,"40.3 to 46.3",6307,2009-04-01
"163","Seasonal Influenza","States/Local Areas","Florida",12,"2009-10",4,"Age","≥6 Months",35.3,"33.8 to 36.8",25071,2009-04-01
"164","Seasonal Influenza","States/Local Areas","Georgia",13,"2009-10",4,"Age","≥6 Months",36.7,"34.6 to 38.8",7795,2009-04-01
"165","Seasonal Influenza","States/Local Areas","Hawaii",15,"2009-10",4,"Age","≥6 Months",55.8,"53.6 to 58.0",9816,2009-04-01
"166","Seasonal Influenza","States/Local Areas","Idaho",16,"2009-10",4,"Age","≥6 Months",34,"31.9 to 36.1",8680,2009-04-01
"167","Seasonal Influenza","States/Local Areas","Illinois",17,"2009-10",4,"Age","≥6 Months",38.1,"36.0 to 40.2",8728,2009-04-01
"168","Seasonal Influenza","States/Local Areas","Indiana",18,"2009-10",4,"Age","≥6 Months",41.4,"39.8 to 43.0",11036,2009-04-01
"169","Seasonal Influenza","States/Local Areas","Iowa",19,"2009-10",4,"Age","≥6 Months",48.8,"46.9 to 50.7",8156,2009-04-01
"170","Seasonal Influenza","States/Local Areas","Kansas",20,"2009-10",4,"Age","≥6 Months",41.8,"40.2 to 43.4",13899,2009-04-01
"171","Seasonal Influenza","States/Local Areas","Kentucky",21,"2009-10",4,"Age","≥6 Months",43.2,"41.2 to 45.2",9809,2009-04-01
"172","Seasonal Influenza","States/Local Areas","Louisiana",22,"2009-10",4,"Age","≥6 Months",42.5,"40.6 to 44.4",8942,2009-04-01
"173","Seasonal Influenza","States/Local Areas","Maine",23,"2009-10",4,"Age","≥6 Months",49.9,"48.1 to 51.7",8867,2009-04-01
"174","Seasonal Influenza","States/Local Areas","Maryland",24,"2009-10",4,"Age","≥6 Months",44.4,"42.7 to 46.1",10878,2009-04-01
"175","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2009-10",4,"Age","≥6 Months",51.6,"49.4 to 53.8",14087,2009-04-01
"176","Seasonal Influenza","States/Local Areas","Michigan",26,"2009-10",4,"Age","≥6 Months",36.8,"35.1 to 38.5",10668,2009-04-01
"177","Seasonal Influenza","States/Local Areas","Minnesota",27,"2009-10",4,"Age","≥6 Months",51.2,"48.9 to 53.5",8852,2009-04-01
"178","Seasonal Influenza","States/Local Areas","Mississippi",28,"2009-10",4,"Age","≥6 Months",38.2,"36.2 to 40.2",11356,2009-04-01
"179","Seasonal Influenza","States/Local Areas","Missouri",29,"2009-10",4,"Age","≥6 Months",40.9,"38.7 to 43.1",7074,2009-04-01
"180","Seasonal Influenza","States/Local Areas","Montana",30,"2009-10",4,"Age","≥6 Months",37.7,"35.8 to 39.6",9059,2009-04-01
"181","Seasonal Influenza","States/Local Areas","Nebraska",31,"2009-10",4,"Age","≥6 Months",48.2,"46.0 to 50.4",15971,2009-04-01
"182","Seasonal Influenza","States/Local Areas","Nevada",32,"2009-10",4,"Age","≥6 Months",31,"29.0 to 33.0",7299,2009-04-01
"183","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2009-10",4,"Age","≥6 Months",49.1,"47.2 to 51.0",7343,2009-04-01
"184","Seasonal Influenza","States/Local Areas","New Jersey",34,"2009-10",4,"Age","≥6 Months",40.3,"38.6 to 42.0",11653,2009-04-01
"185","Seasonal Influenza","States/Local Areas","New Mexico",35,"2009-10",4,"Age","≥6 Months",47,"44.8 to 49.2",9365,2009-04-01
"186","Seasonal Influenza","States/Local Areas","New York",36,"2009-10",4,"Age","≥6 Months",43.3,"41.4 to 45.2",9661,2009-04-01
"187","Seasonal Influenza","States/Local Areas","North Carolina",37,"2009-10",4,"Age","≥6 Months",42.5,"40.1 to 44.9",11267,2009-04-01
"188","Seasonal Influenza","States/Local Areas","North Dakota",38,"2009-10",4,"Age","≥6 Months",45.5,"43.0 to 48.0",6501,2009-04-01
"189","Seasonal Influenza","States/Local Areas","Ohio",39,"2009-10",4,"Age","≥6 Months",40.6,"38.3 to 42.9",11152,2009-04-01
"190","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2009-10",4,"Age","≥6 Months",43.9,"42.0 to 45.8",9792,2009-04-01
"191","Seasonal Influenza","States/Local Areas","Oregon",41,"2009-10",4,"Age","≥6 Months",38.2,"36.3 to 40.1",8182,2009-04-01
